,bed,bath,acre_lot,zip_code,house_size,prev_sold_date,price
1231,3.0,3.0,0.04,7017.0,1500.0,2019-07-03,299900.0
1233,5.0,3.0,0.11,7017.0,2166.0,2020-10-20,489000.0
1237,5.0,3.0,0.11,7017.0,1500.0,2016-08-30,510000.0
1238,6.0,4.0,0.15,7017.0,1500.0,2018-11-21,425000.0
1246,6.0,2.0,0.08,7017.0,1500.0,2017-11-15,359000.0
1248,5.0,4.0,0.08,7017.0,1500.0,2017-01-04,450000.0
1249,3.0,2.0,0.07,7017.0,3148.0,2018-10-23,448000.0
1250,6.0,3.0,0.06,7017.0,2750.0,2018-02-09,369000.0
1251,4.0,4.0,0.07,7017.0,1500.0,2016-04-26,399000.0
1258,5.0,3.0,0.07,7017.0,2251.0,2020-10-28,630000.0
1259,2.0,1.0,0.09,7017.0,1500.0,2022-01-20,265000.0
1265,3.0,3.0,0.14,7027.0,1500.0,2019-02-26,649000.0
1269,4.0,2.0,0.17,7027.0,1500.0,2019-07-30,499000.0
1279,2.0,1.0,0.04,7103.0,1500.0,2022-03-09,49999.0
1280,5.0,2.0,0.1,7108.0,1500.0,2017-02-08,175000.0
1297,5.0,5.0,0.6,7045.0,4933.0,2021-12-10,1299990.0
1304,3.0,2.0,0.91,7940.0,1500.0,2021-01-26,700000.0
1310,3.0,2.0,0.25,7042.0,1500.0,2019-04-24,450000.0
1317,4.0,3.0,10.8,7834.0,1500.0,2017-05-26,1894000.0
1319,3.0,1.0,0.13,7052.0,1500.0,2016-07-08,325000.0
1322,4.0,2.0,0.06,7106.0,1500.0,2019-04-05,289000.0
1327,2.0,2.0,0.11,7501.0,1500.0,2017-12-13,319900.0
1335,4.0,3.0,0.07,7112.0,1500.0,2017-03-23,395000.0
1343,5.0,3.0,0.06,7112.0,1500.0,2019-12-12,525000.0
1347,4.0,3.0,0.2,7083.0,1500.0,2022-01-21,595000.0
1349,7.0,5.0,0.08,7112.0,2955.0,2017-10-26,515000.0
1351,6.0,5.0,0.08,7103.0,3165.0,2019-08-21,610000.0
1352,7.0,5.0,0.06,7524.0,2050.0,2020-10-30,525000.0
1364,2.0,2.0,0.11,7052.0,1500.0,2019-12-12,175000.0
1367,3.0,2.0,0.04,7508.0,1500.0,2017-05-16,286000.0
1376,6.0,3.0,0.06,7107.0,3600.0,2020-07-10,460000.0
1377,7.0,3.0,0.06,7524.0,1500.0,2019-09-12,399000.0
1379,6.0,3.0,0.11,7524.0,1500.0,2019-12-30,460000.0
1383,4.0,2.0,0.09,7205.0,1500.0,2019-06-05,425000.0
1384,3.0,2.0,0.23,7054.0,1500.0,2021-08-03,399000.0
1399,5.0,2.0,0.17,7008.0,2208.0,2018-08-02,474900.0
1402,3.0,3.0,0.07,7008.0,2004.0,2021-12-09,435000.0
1404,6.0,2.0,0.11,7008.0,1500.0,2020-10-26,375000.0
1407,3.0,2.0,0.09,7008.0,1499.0,2022-03-11,349900.0
1408,3.0,2.0,0.11,7008.0,2160.0,2018-09-05,520000.0
1411,3.0,2.0,0.11,7008.0,1728.0,2021-09-29,395000.0
1415,3.0,2.0,0.11,7008.0,1368.0,2017-10-18,399900.0
1422,3.0,2.0,0.11,7008.0,1760.0,2018-08-10,369000.0
1425,3.0,2.0,0.11,7008.0,1500.0,2017-01-17,450000.0
1426,4.0,3.0,0.17,7008.0,2150.0,2021-02-16,579900.0
1444,7.0,3.0,0.09,7018.0,1500.0,2017-01-30,345000.0
1458,2.0,2.0,0.11,7006.0,1970.0,2018-11-14,750000.0
1460,4.0,4.0,0.06,7018.0,1500.0,2021-05-17,550000.0
1461,3.0,3.0,2.0,7940.0,2700.0,2019-11-07,1095000.0
1465,4.0,3.0,0.14,7081.0,1500.0,2019-04-04,759900.0
1467,3.0,3.0,0.07,7018.0,1496.0,2017-01-11,325000.0
1468,3.0,2.0,0.17,7035.0,1500.0,2018-05-07,325000.0
1471,4.0,3.0,0.12,7050.0,1500.0,2016-06-20,250000.0
1474,5.0,4.0,0.61,7006.0,1500.0,2020-12-04,1599000.0
1475,6.0,2.0,0.06,7111.0,1500.0,2020-10-02,419999.0
1478,4.0,2.0,0.09,7054.0,1500.0,2021-08-03,488800.0
1487,4.0,3.0,0.12,7940.0,2175.0,2021-09-23,565000.0
1491,4.0,4.0,0.18,7079.0,2150.0,2021-04-20,599900.0
1497,3.0,2.0,0.17,7106.0,1500.0,2017-01-11,480000.0
1498,3.0,3.0,0.06,7109.0,1500.0,2021-12-15,489900.0
1509,6.0,4.0,0.02,7055.0,1500.0,2019-09-09,400000.0
1516,4.0,3.0,0.11,7657.0,1500.0,2019-11-20,935000.0
1517,3.0,2.0,0.06,7087.0,1500.0,2018-10-18,420000.0
1522,6.0,5.0,0.06,7093.0,1500.0,2016-02-25,897142.0
1523,4.0,4.0,0.14,7070.0,1500.0,2018-07-27,1298000.0
1525,4.0,2.0,0.18,7512.0,1500.0,2018-04-24,689000.0
1527,6.0,5.0,0.06,7104.0,1998.0,2020-05-05,674900.0
1551,1.0,1.0,0.11,7306.0,550.0,2017-02-23,199000.0
1556,3.0,2.0,0.11,7094.0,1500.0,2016-11-09,399000.0
1561,4.0,3.0,0.05,7306.0,1500.0,2016-02-25,685000.0
1562,7.0,5.0,0.06,7307.0,1500.0,2018-10-02,1195000.0
1567,5.0,5.0,0.06,7107.0,1500.0,2017-02-28,400000.0
1569,3.0,3.0,0.11,7042.0,2761.0,2017-09-29,799000.0
1577,3.0,2.0,0.06,7047.0,1500.0,2018-06-11,250000.0
1585,1.0,1.0,0.11,7047.0,636.0,2020-01-29,239000.0
1593,4.0,4.0,1.13,7481.0,1500.0,2018-09-24,1295000.0
1596,4.0,2.0,0.11,7032.0,1500.0,2017-12-07,500000.0
1597,4.0,4.0,0.04,7307.0,1500.0,2016-07-13,675000.0
1603,5.0,3.0,0.11,7644.0,1500.0,2020-05-29,529900.0
1606,5.0,2.0,0.07,7504.0,1500.0,2021-06-10,425000.0
1607,2.0,4.0,0.11,7093.0,1809.0,2019-03-05,484000.0
1613,4.0,4.0,0.38,7305.0,1500.0,2018-06-04,549000.0
1617,4.0,3.0,0.52,7440.0,1500.0,2021-03-12,759000.0
1618,6.0,2.0,0.06,7501.0,1500.0,2018-06-20,399000.0
1622,3.0,3.0,0.11,7508.0,1500.0,2017-11-08,549000.0
1626,3.0,3.0,0.13,7646.0,1500.0,2021-11-19,589000.0
1627,5.0,4.0,0.06,7104.0,1500.0,2018-08-01,395000.0
1628,4.0,4.0,50.0,7055.0,1500.0,2020-12-29,550000.0
1629,3.0,2.0,0.38,7028.0,1500.0,2018-12-21,629000.0
1631,4.0,2.0,0.08,7031.0,1500.0,2019-07-15,598900.0
1632,3.0,2.0,0.11,7071.0,1500.0,2019-09-10,649900.0
1639,1.0,2.0,0.11,7307.0,890.0,2017-08-17,315000.0
1640,5.0,2.0,0.02,7522.0,1500.0,2018-10-18,299000.0
1641,3.0,3.0,0.21,7043.0,1500.0,2019-12-03,649000.0
1645,6.0,3.0,0.06,7307.0,1500.0,2018-08-10,775000.0
1647,1.0,1.0,0.11,7047.0,718.0,2018-04-09,219000.0
1653,3.0,2.0,0.06,7502.0,1500.0,2019-08-06,329000.0
1658,3.0,1.0,0.05,7032.0,1500.0,2018-03-20,325000.0
1661,3.0,2.0,0.29,7450.0,1500.0,2021-11-30,599900.0
1663,1.0,1.0,0.11,7306.0,1500.0,2020-03-05,190000.0
1669,4.0,1.0,0.06,7107.0,1500.0,2022-01-21,245000.0
1675,6.0,2.0,0.08,7050.0,1500.0,2020-09-10,475000.0
1677,3.0,2.0,0.11,7306.0,1500.0,2020-08-21,515000.0
1679,4.0,2.0,0.06,7502.0,1500.0,2019-05-09,374900.0
1686,3.0,3.0,0.11,7047.0,1966.0,2018-03-27,1080000.0
1687,3.0,2.0,0.34,7452.0,1759.0,2016-06-01,699000.0
1690,3.0,2.0,0.19,7470.0,1500.0,2021-01-07,105000.0
1694,2.0,2.0,0.11,7310.0,1500.0,2020-08-04,1495000.0
1696,5.0,5.0,0.18,7070.0,6500.0,2021-04-06,1250000.0
1699,3.0,3.0,0.32,7035.0,1500.0,2021-02-16,449000.0
