,status,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price,prev_sold_year
447410,for_sale,2.0,2.0,,Southbury,Connecticut,6488.0,1432.0,1998-08-31,269000.0,1998.0
447417,for_sale,4.0,3.0,1.41,Southbury,Connecticut,6488.0,3378.0,2000-07-31,659900.0,2000.0
447420,for_sale,3.0,2.0,,Southbury,Connecticut,6488.0,1716.0,2019-07-01,389000.0,2019.0
447422,for_sale,2.0,2.0,,Southbury,Connecticut,6488.0,1432.0,1998-07-02,379000.0,1998.0
447432,for_sale,,,11.1,Roxbury,Connecticut,6783.0,,,149900.0,
447457,for_sale,4.0,3.0,2.23,Woodbury,Connecticut,6798.0,3417.0,2018-11-14,759000.0,2018.0
447469,for_sale,5.0,5.0,3.8,Washington,Connecticut,6793.0,2957.0,2005-11-09,1700000.0,2005.0
447479,for_sale,,,14.16,Goshen,Connecticut,6756.0,,,299500.0,
447481,for_sale,,,0.91,Goshen,Connecticut,6756.0,,,44900.0,
447482,for_sale,,,1.11,Goshen,Connecticut,6756.0,,,125000.0,
447484,for_sale,3.0,2.0,0.85,Goshen,Connecticut,6756.0,1600.0,,605000.0,
447485,for_sale,3.0,2.0,0.85,Goshen,Connecticut,6756.0,1645.0,,618500.0,
447490,for_sale,,,0.85,Goshen,Connecticut,6756.0,,,175000.0,
447494,for_sale,,,1.11,Goshen,Connecticut,6756.0,,,185000.0,
447495,for_sale,3.0,4.0,1.11,Goshen,Connecticut,6756.0,2619.0,,935700.0,
447500,for_sale,,,1.06,Goshen,Connecticut,6756.0,,,95000.0,
447504,for_sale,3.0,3.0,0.85,Goshen,Connecticut,6756.0,2289.0,,811700.0,
447507,for_sale,,,22.52,Goshen,Connecticut,6756.0,,,399000.0,
447513,for_sale,3.0,3.0,1.0,Kent,Connecticut,6757.0,1210.0,,295000.0,
447517,for_sale,,,12.93,Kent,Connecticut,6757.0,,,110000.0,
447522,for_sale,,,2.02,Kent,Connecticut,6757.0,,,79900.0,
447523,for_sale,6.0,9.0,66.0,Kent,Connecticut,6757.0,5995.0,,6900000.0,
447524,for_sale,,,2.68,Kent,Connecticut,6757.0,,,155000.0,
447527,for_sale,,,40.16,Kent,Connecticut,6757.0,,,900000.0,
447530,for_sale,1.0,1.0,,Bridgeport,Connecticut,6606.0,779.0,1998-08-12,169000.0,1998.0
447535,for_sale,1.0,1.0,,Bridgeport,Connecticut,6606.0,1011.0,2001-09-04,199900.0,2001.0
447536,for_sale,2.0,2.0,,Bridgeport,Connecticut,6606.0,1178.0,,178000.0,
447537,for_sale,1.0,2.0,,Bridgeport,Connecticut,6606.0,837.0,2003-11-03,149900.0,2003.0
447549,for_sale,4.0,2.0,0.2,Bridgeport,Connecticut,6606.0,1287.0,,289900.0,
447551,for_sale,5.0,1.0,0.19,Bridgeport,Connecticut,6606.0,1428.0,2010-06-23,325000.0,2010.0
447563,for_sale,4.0,2.0,0.23,Bridgeport,Connecticut,6606.0,1287.0,2015-04-09,325000.0,2015.0
447567,for_sale,3.0,3.0,0.25,Bridgeport,Connecticut,6606.0,2350.0,,479999.0,
447569,for_sale,,,0.16,Bridgeport,Connecticut,6606.0,3000.0,2020-03-25,599900.0,2020.0
447581,for_sale,3.0,3.0,4.22,Prospect,Connecticut,6712.0,3086.0,,505000.0,
447587,for_sale,4.0,3.0,1.03,Prospect,Connecticut,6712.0,2476.0,,599900.0,
447603,for_sale,2.0,3.0,,Prospect,Connecticut,6712.0,1503.0,2013-09-30,445000.0,2013.0
447616,for_sale,,,14.0,Litchfield,Connecticut,6759.0,,,189000.0,
447622,for_sale,,,6.87,Litchfield,Connecticut,6759.0,,,150000.0,
447624,for_sale,,,5.19,Litchfield,Connecticut,6759.0,,,159900.0,
447631,for_sale,2.0,3.0,,Litchfield,Connecticut,6759.0,1854.0,2018-03-23,399000.0,2018.0
447634,for_sale,,,5.53,Litchfield,Connecticut,6759.0,,,235000.0,
447642,for_sale,3.0,3.0,,Litchfield,Connecticut,6759.0,1972.0,,535000.0,
447643,for_sale,3.0,2.0,1.6,Litchfield,Connecticut,6759.0,1352.0,,339900.0,
447699,for_sale,4.0,4.0,2.73,Bridgewater,Connecticut,6752.0,2924.0,1996-04-01,525000.0,1996.0
447700,for_sale,3.0,3.0,2.26,Bridgewater,Connecticut,6752.0,1748.0,2005-02-01,525000.0,2005.0
447701,for_sale,4.0,3.0,3.0,Bridgewater,Connecticut,6752.0,2424.0,2021-04-14,555000.0,2021.0
447702,for_sale,3.0,3.0,5.03,Bridgewater,Connecticut,6752.0,2640.0,2014-11-12,746000.0,2014.0
447703,for_sale,3.0,4.0,4.5,Bridgewater,Connecticut,6752.0,4153.0,2020-04-03,775000.0,2020.0
447704,for_sale,4.0,3.0,5.08,Bridgewater,Connecticut,6752.0,2898.0,2013-05-29,689000.0,2013.0
