,bed,bath,acre_lot,zip_code,house_size,prev_sold_date,price
1588,3.0,1.0,0.16,6260.0,956.0,2019-06-04,219995.0
1590,3.0,2.0,5.37,6277.0,1510.0,2018-12-28,315000.0
1593,3.0,2.0,0.17,6260.0,1232.0,2019-03-14,184900.0
1599,4.0,2.0,0.32,6260.0,1665.0,2021-10-21,315000.0
1606,3.0,3.0,0.6,6281.0,1664.0,2018-05-08,339900.0
1607,3.0,1.0,0.15,6260.0,1344.0,2017-12-18,214900.0
1608,2.0,4.0,0.17,6260.0,1812.0,2020-07-24,325000.0
1609,3.0,2.0,0.36,6076.0,1248.0,2016-05-19,240000.0
1623,3.0,2.0,0.23,6790.0,1144.0,2019-09-23,135000.0
1631,5.0,2.0,0.07,6790.0,2094.0,2019-05-07,145000.0
1635,3.0,2.0,0.26,6790.0,2205.0,2020-10-05,215000.0
1637,4.0,3.0,1.4,6791.0,2898.0,2019-09-06,484999.0
1640,3.0,2.0,4.72,6013.0,1152.0,2021-12-27,100000.0
1642,2.0,2.0,0.17,6790.0,1154.0,2020-09-03,125000.0
1651,4.0,2.0,0.16,6790.0,2851.0,2018-07-24,209900.0
1660,4.0,2.0,0.21,6790.0,1824.0,2021-12-16,199900.0
1666,2.0,2.0,0.35,6790.0,912.0,2021-06-28,225000.0
1671,4.0,2.0,0.13,6790.0,1637.0,2017-08-14,225000.0
1672,3.0,2.0,0.26,6790.0,1528.0,2017-07-05,224900.0
1675,3.0,1.0,0.23,6790.0,902.0,2020-06-29,209900.0
1676,6.0,3.0,0.19,6790.0,2554.0,2020-02-03,239900.0
1695,3.0,2.0,0.31,6790.0,1134.0,2021-11-22,269500.0
1704,3.0,2.0,1.2,6790.0,1032.0,2017-09-25,224900.0
1708,4.0,3.0,0.27,6790.0,2356.0,2020-03-31,299900.0
1710,4.0,3.0,0.41,6790.0,2023.0,2020-11-12,285000.0
1714,3.0,3.0,0.36,6790.0,1332.0,2020-12-11,310000.0
1716,3.0,2.0,0.35,6790.0,804.0,2018-06-20,250000.0
1720,4.0,3.0,0.32,6790.0,1888.0,2016-07-15,324900.0
1721,2.0,1.0,0.31,6790.0,898.0,2017-05-01,129900.0
1723,3.0,2.0,0.27,6790.0,1056.0,2021-03-17,195000.0
1729,4.0,2.0,0.27,6790.0,1667.0,2020-11-30,230000.0
1730,4.0,3.0,0.49,6790.0,2128.0,2020-01-02,300000.0
1733,3.0,3.0,0.28,6790.0,1884.0,2021-01-21,415000.0
1737,6.0,2.0,0.22,6790.0,2180.0,2018-08-01,249900.0
1742,2.0,3.0,0.65,6790.0,1320.0,2019-03-05,275000.0
1743,7.0,3.0,0.1,6790.0,2774.0,2021-06-07,210000.0
1745,4.0,2.0,0.34,6790.0,1534.0,2020-05-18,219000.0
1746,3.0,2.0,0.3,6790.0,1224.0,2017-08-24,219900.0
1747,5.0,2.0,0.1,6790.0,2230.0,2022-02-14,189900.0
1759,3.0,3.0,3.7,6057.0,1856.0,2020-10-27,449900.0
1761,3.0,1.0,0.29,6118.0,960.0,2021-12-16,219000.0
1769,3.0,2.0,0.26,6117.0,1768.0,2017-06-01,369900.0
1770,3.0,3.0,0.45,6117.0,2000.0,2018-11-20,494900.0
1775,3.0,2.0,2.57,6060.0,1152.0,2016-04-11,159000.0
1786,3.0,3.0,1.08,6118.0,2318.0,2021-03-08,389999.0
1796,3.0,2.0,0.17,6112.0,3268.0,2021-12-01,259900.0
1802,3.0,2.0,0.21,6118.0,1274.0,2017-07-12,195000.0
1807,4.0,2.0,0.09,6120.0,1284.0,2020-12-29,234900.0
1817,4.0,3.0,0.08,6226.0,1920.0,2017-05-26,179000.0
1821,6.0,3.0,0.16,6108.0,3332.0,2021-06-16,299000.0
1823,6.0,2.0,0.27,6040.0,2568.0,2018-07-26,279000.0
1828,4.0,3.0,0.21,6105.0,3404.0,2021-11-04,224900.0
1829,3.0,3.0,0.57,6002.0,1320.0,2016-04-18,252000.0
1831,4.0,3.0,0.17,6095.0,2402.0,2020-08-13,339999.0
1844,4.0,1.0,0.15,6112.0,1127.0,2019-04-24,175000.0
1845,4.0,2.0,0.12,6108.0,1972.0,2021-07-21,219900.0
1849,7.0,3.0,0.15,6120.0,3433.0,2018-12-11,159000.0
1852,3.0,3.0,1.53,6237.0,2177.0,2020-09-22,519900.0
1857,3.0,2.0,0.18,6112.0,3922.0,2019-12-31,299999.0
1863,3.0,2.0,0.12,6120.0,1302.0,2016-12-30,160000.0
1870,3.0,2.0,0.17,6040.0,1259.0,2017-09-05,225000.0
1876,3.0,2.0,0.26,6120.0,1260.0,2020-04-28,199000.0
1885,6.0,3.0,0.16,6112.0,3404.0,2017-09-18,250000.0
1896,3.0,2.0,0.15,6114.0,3120.0,2021-09-27,320000.0
1899,3.0,3.0,0.08,6106.0,1408.0,2017-08-29,184900.0
1900,3.0,1.0,0.29,6118.0,960.0,2019-06-07,175000.0
1901,3.0,3.0,0.44,6118.0,1436.0,2018-08-23,270000.0
1906,5.0,2.0,0.33,6226.0,2262.0,2016-11-07,230000.0
1907,2.0,2.0,0.17,6106.0,1231.0,2018-12-17,225000.0
1908,6.0,3.0,0.28,6108.0,3133.0,2019-07-19,299900.0
1909,3.0,2.0,0.11,6112.0,3266.0,2021-09-08,269999.0
1910,2.0,2.0,0.17,6103.0,1133.0,2020-12-07,225000.0
1912,3.0,2.0,0.28,6226.0,1200.0,2021-01-07,199900.0
1914,3.0,3.0,0.17,6250.0,1588.0,2019-11-05,274900.0
1915,3.0,2.0,0.26,6108.0,1030.0,2022-01-25,215000.0
1925,3.0,2.0,0.13,6112.0,1244.0,2021-09-30,229900.0
1926,6.0,3.0,0.21,6106.0,3423.0,2016-09-14,365000.0
1932,7.0,5.0,0.17,6112.0,3632.0,2021-03-11,264500.0
1934,3.0,2.0,0.14,6107.0,1634.0,2022-01-10,399900.0
1935,3.0,3.0,0.47,6117.0,1882.0,2017-03-13,499900.0
1937,3.0,2.0,0.33,6095.0,1907.0,2021-10-18,249525.0
1939,3.0,2.0,0.26,6118.0,1442.0,2020-11-02,259900.0
1949,3.0,2.0,0.24,6112.0,1290.0,2021-11-17,259900.0
1955,3.0,3.0,0.35,6033.0,1370.0,2017-01-24,397900.0
1959,3.0,1.0,0.2,6250.0,912.0,2019-08-12,198500.0
1964,2.0,2.0,0.29,6112.0,1410.0,2016-06-22,169900.0
1966,6.0,2.0,0.12,6106.0,2112.0,2019-08-30,210000.0
1968,3.0,2.0,0.21,6226.0,1132.0,2020-02-11,160000.0
1975,3.0,3.0,0.17,6114.0,1532.0,2016-04-04,179900.0
