,status,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price,prev_sold_year
636924,for_sale,,,0.03,Philadelphia,Pennsylvania,19133.0,,1987-04-22,19400.0,1987.0
636925,for_sale,3.0,2.0,0.02,Philadelphia,Pennsylvania,19134.0,940.0,2021-05-21,249000.0,2021.0
636926,for_sale,4.0,3.0,0.04,Philadelphia,Pennsylvania,19120.0,1852.0,2004-05-19,220000.0,2004.0
636927,for_sale,3.0,1.0,0.02,Philadelphia,Pennsylvania,19132.0,1128.0,1984-10-10,130000.0,1984.0
636928,for_sale,2.0,1.0,0.01,Philadelphia,Pennsylvania,19134.0,840.0,1995-02-17,65000.0,1995.0
636929,for_sale,5.0,,0.03,Philadelphia,Pennsylvania,19139.0,2352.0,2016-05-31,390000.0,2016.0
636930,for_sale,6.0,,0.18,Philadelphia,Pennsylvania,19140.0,7836.0,2002-01-04,1150000.0,2002.0
636931,for_sale,4.0,3.0,0.07,Darby,Pennsylvania,19023.0,1750.0,1984-07-01,280000.0,1984.0
636933,for_sale,3.0,2.0,0.02,Philadelphia,Pennsylvania,19145.0,1344.0,,159900.0,
636934,for_sale,3.0,2.0,0.01,Philadelphia,Pennsylvania,19148.0,1368.0,2007-06-08,239900.0,2007.0
636935,for_sale,,,0.02,Philadelphia,Pennsylvania,19134.0,,,16400.0,
636936,for_sale,,,0.01,Philadelphia,Pennsylvania,19134.0,,1990-11-26,16400.0,1990.0
636937,for_sale,5.0,5.0,,Philadelphia,Pennsylvania,19128.0,,,1025000.0,
636938,for_sale,3.0,1.0,0.02,Philadelphia,Pennsylvania,19148.0,1540.0,2013-08-29,369900.0,2013.0
636939,for_sale,4.0,2.0,0.03,Philadelphia,Pennsylvania,19132.0,1486.0,,115000.0,
636940,for_sale,2.0,1.0,0.02,Philadelphia,Pennsylvania,19145.0,980.0,1985-01-07,138900.0,1985.0
636941,for_sale,3.0,3.0,0.11,Philadelphia,Pennsylvania,19122.0,3000.0,,725000.0,
636942,for_sale,,,0.04,Philadelphia,Pennsylvania,19128.0,,,150000.0,
636943,for_sale,2.0,3.0,,Haverford,Pennsylvania,19041.0,2480.0,,1325000.0,
636944,for_sale,3.0,3.0,0.06,Media,Pennsylvania,19063.0,1755.0,,548995.0,
636945,for_sale,3.0,2.0,0.01,Philadelphia,Pennsylvania,19148.0,784.0,,234999.0,
636946,for_sale,3.0,3.0,0.05,Media,Pennsylvania,19063.0,1908.0,,577658.0,
636947,for_sale,4.0,5.0,,Philadelphia,Pennsylvania,19128.0,1368.0,2016-09-29,899999.0,2016.0
636948,for_sale,4.0,5.0,0.1,Philadelphia,Pennsylvania,19128.0,1368.0,2016-09-29,970000.0,2016.0
636949,for_sale,3.0,3.0,,Philadelphia,Pennsylvania,19104.0,1349.0,,315000.0,
636950,for_sale,,,0.01,Philadelphia,Pennsylvania,19125.0,,2010-11-02,116000.0,2010.0
636951,for_sale,2.0,2.0,,Philadelphia,Pennsylvania,19123.0,948.0,,335000.0,
636952,for_sale,,,0.05,Philadelphia,Pennsylvania,19130.0,,,1175000.0,
636953,for_sale,,,0.44,Philadelphia,Pennsylvania,19122.0,,,3500000.0,
